ClassYear,Gender,Political,Haircut,Textbooks,CellType,CellLife,Computer,RandomNumber,HoursSlept,HoursExercise,IceCream,WorkStudy,HarryPotter,CupsCoffee,Siblings,SocialMediaAccounts,Pulse,TextMessages,BearsBees,Athletics
Junior,Female,4,0,300,iPhone,6,Mac,10,6,0,Vanilla,10,3,0,2,3,29,2,Bees,Intramural
Junior,Female,4,0,300,iPhone,6,Mac,10,6,0,Vanilla,10,3,0,2,3,29,2,Bees,Intramural
Junior,Male,3,2,40,other.smartphone,2,PC,7,7,3,Chocolate,12,6,0,1,1,90,12,Bear,Pickup
First year,Male,3,15,-999,iPhone,17,Other,9,9,7,Vanilla,9.5,4,0,3,1,60,30,Bear,Varsity
Senior,Male,2,30,-999,iPhone,11,Mac,7,7,5,Chocolate,0,8,2,1,3,77,15,Bear,No participation
Sophomore,Male,3,12,50,other.smartphone,8,PC,10,7,4,Vanilla,12,3,0,1,1,80,10,Bees,Intramural
Senior,Female,1,15,-999,iPhone,9,Mac,3,7,0,Vanilla,10,7,0,0,6,65,15,Bear,No participation
Sophomore,Female,5,0,200,iPhone,10,Mac,8,9,3,Vanilla,I'm an RA so 24/7,8,0,2,2,,20,Bear,Intramural
Junior,Female,2,60,110,iPhone,11,Mac,4,6.5,3,Chocolate,10,8,2,1,2,68,35,Bear,Club
First year,Male,4,4,-999,iPhone,13,Mac,8,7,11,Vanilla,10,8,1,0,1,65,40,Bees,Club
Sophomore,Female,1,75,180,Android,13,PC,3,7.5,3,Vanilla,0,8,0,0,3,86,20,Bees,No participation
Sophomore,Female,3,40,80,Android,13,Mac,4,7,10,Vanilla,0,8,0,2,1,60,5,Bees,Varsity
Junior,Male,3,20,105,iPhone,2,Mac,7,8.5,4.5,Vanilla,0,8,0,3,4,75,2.5,Bees,Intramural
Sophomore,Female,2,20,200,iPhone,12,Mac,9,8,5,Chocolate,10,8,1,1,2,76,40,Bees,Club
Sophomore,Male,4,5,40,Android,4,PC,9,10,6,Chocolate,24,8,0,0,3,69,6,Bees,Intramural
Sophomore,Male,5,0,140,not.smartphone,3,PC,8,8,4,Chocolate,0,6,1,7,3,75,6,Bear,Intramural
First year,Male,2,15,-999,iPhone,13,PC,8,8,7,Vanilla,0,8,1,2,2,70,20,Bees,Intramural
Junior,Male,5,15,150,other.smartphone,1,PC,6,6,1.5,Chocolate,10,8,0,2,2,69,1,Bear,No participation
Sophomore,Female,2,10,200,iPhone,6,Mac,7,8,5,Vanilla,10,1,1,0,5,90,60,Bear,No participation
Sophomore,Female,4,20,0,Android,1,PC,8,8,0,Vanilla,10,1,0,0,1,80,0,Bear,Club
Senior,Female,1,0,45,iPhone,1,Mac,4,10,3,Vanilla,10,8,0,1,6,66,20,Bear,Varsity
Senior,Female,1,30,250,Android,21,Mac,7,8,2,Chocolate,10,8,2,1,2,66,20,Bees,Club
Junior,Male,2,30,0,iPhone,18,Mac,3,7,5,Vanilla,0,1,0,1,2,80,50,Bear,Club
Junior,Female,2,40,50,iPhone,12,Mac,4,7.5,4,Vanilla,9,8,1,1,3,70,20,Bear,Club
Sophomore,Female,2,30,350,iPhone,3,Mac,9,7,9,Vanilla,0,6,2,1,3,52,6,Bear,Varsity
Junior,Female,2,50,200,iPhone,6,PC,7,7,13,Chocolate,0,8,1,2,2,68,50,Bees,Varsity
Sophomore,Female,6,0,200,iPhone,20,Mac,9,8,2,Vanilla,8,3,0,6,2,65,10,Bees,Intramural
