name,id,survival,type,price,releaseToDate,avgRate_current,rateCount_current,avgRate_all,rateCount_all,category,catPop,size,language,langNum,ageRate,system,systemCat,device,left_trunc,censored
Lost Within Amazon Game Studios 980274086,980274086,6,paid,6.99,150,4.5,331,4.5,332,Games,Games,585.7442131," English, French, German, Italian, Japanese, Portuguese, Simplified Chinese, Spanish, Traditional Chinese",9,12+,iOS 8,new,"iPhone, iPad, and iPod touch.",1,1
"Warhammer 40,000: Space Wolf HeroCraft Ltd. 840103145",840103145,1,free,0,320,4,107,3.5,1792,Games,Games,585.2576952," English, Chinese, French, German, Italian, Japanese, Korean, Russian, Spanish",9,12+,iOS 6,med,"iPhone, iPad, and iPod touch.",1,1
Snowboard Party Ratrod Studio 922316241,922316241,9,paid,1.99,276,5,9,4.5,146,Games,Games,580.4990244," English, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish",10,04+,iOS 6,med,"iPhone 4, iPhone 4s, iPhone 5, iPhone 5c, iPhone 5s, iPhone 6, iPhone 6 Plus, iPhone 6s, iPhone 6s Plus, iPad, and iPod touch.",1,1
RollerCoaster Tycoon¥ 3 Frontier Developments Ltd 1008692660,1008692660,16,paid,4.99,32,4,224,4,593,Games,Games,555.436657," English, French, German, Italian, Portuguese, Spanish",6,04+,iOS 7,med,"iPhone 5s, iPhone 6, iPhone 6 Plus, iPhone 6s, iPhone 6s Plus, iPad Air, iPad Air Wi-Fi + Cellular, iPad mini 2, iPad mini 2 Wi-Fi + Cellular, iPad Air 2, iPad Air 2 Wi-Fi + Cellular, iPad mini 3, iPad mini 3 Wi-Fi + Cellular, iPad mini 4, iPad mini 4 Wi-Fi + Cellular, iPad Pro, iPad Pro Wi-Fi + Cellular, and iPod touch (6th generation.",1,1
Heroes and Castles 2 Foursaken Media 911781335,911781335,9,paid,1.99,122,4.5,164,4.5,1476,Games,Games,552.6590128, English,1,12+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
Sky Gamblers: Storm Raiders Atypical Games 574375380,574375380,11,paid,4.99,1018,4.5,1396,4.5,18046,Games,Games,552.6246815," English, French, German, Italian, Japanese, Korean, Portuguese, Russian, Simplified Chinese, Spanish",10,12+,iOS 5,old,"iPhone, iPad, and iPod touch.",1,1
Bastion Warner Bros. 537773100,537773100,1,paid,4.99,1109,5,26,4.5,13769,Games,Games,552.4762468, English,1,12+,iOS 5,old,"iPhone, iPad, and iPod touch.",1,1
"999: The Novel Aksys Games Localization, Inc. 741073964",741073964,1,paid,4.99,545,4.5,33,4.5,94,Book,other,541.8050137, English,1,17+,iOS 5,old,"iPhone, iPad, and iPod touch.",1,1
Fast & Furious: Legacy Kabam 914089055,914089055,26,free,0,172,4.5,319,4.5,16820,Games,Games,522.904747," English, French, German, Italian, Japanese, Korean, Portuguese, Russian, Spanish, Turkish",10,12+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
World of Warriors Mind Candy Ltd 793076829,793076829,9,free,0,313,4.5,138,4.5,95336,Games,Games,520.311801," English, French, Italian, Japanese, Portuguese, Russian, Spanish",7,12+,iOS 7,med,"iPhone, iPad, and iPod touch.",1,1
