SubjectID,UnemSpell,Censored,Age,Sex,Education,Race,NumDependents,UI,Married,CountyUnemRate,Homeowner,HourWageLastYear
1810,2,0,31,0,12,1,6,0,1,7,1,1347
1655,1,0,37,0,12,0,4,1,1,3,1,625
5956,1,0,40,0,7,1,3,0,1,6,1,847
2422,6,0,50,0,10,0,2,1,1,10,1,873
1880,52,1,28,0,11,0,2,0,1,14,0,625
1759,2,0,52,0,11,0,2,1,1,14,1,1381
1759,12,0,51,0,11,0,2,1,1,13,1,1198
2379,30,0,43,0,14,0,4,1,1,8,1,1027
5233,4,0,22,1,14,0,1,1,0,5,0,1304
6545,39,1,20,1,12,1,2,0,0,8,0,0
5571,12,0,27,0,9,0,4,1,1,9,0,962
5037,19,1,21,0,12,1,4,0,1,9,0,380
5037,13,1,20,0,12,1,3,0,1,7,0,271
2180,1,0,24,0,14,0,1,0,0,7,0,1116
5922,34,1,22,0,11,1,1,0,0,7,0,350
5393,98,1,33,0,10,1,2,0,1,11,0,0
5393,12,0,33,0,10,1,2,0,1,7,0,427
6210,60,0,26,0,12,1,1,1,1,8,0,354
6088,98,1,30,1,12,1,3,0,0,7,0,240
5041,52,1,23,0,11,1,1,0,0,7,0,42
5015,20,0,42,0,12,1,1,1,0,7,0,484
5166,21,1,53,0,5,1,1,1,0,6,1,482
5166,6,0,52,0,5,1,2,1,0,7,1,422
5371,98,1,31,0,12,1,1,0,0,11,0,0
5612,2,0,34,1,12,1,5,1,0,6,0,465
2079,26,1,27,0,9,0,4,0,1,1,1,226
2079,8,0,26,0,9,0,7,0,1,3,1,174
2079,26,0,39,0,9,0,2,0,1,1,1,141
2566,78,1,24,0,12,0,1,0,0,1,1,532
2566,4,0,52,0,12,0,1,0,0,1.5,1,419
6152,33,0,46,1,13,1,1,1,0,7,0,317
5677,11,0,28,1,11,1,2,1,0,9.5,0,348
6532,12,0,27,0,12,0,5,1,1,7,0,903
6532,1,0,26,0,12,0,5,1,1,7,0,578
