start,stop,AliveTVC,WinnerTVC,ID,Sex,USA,White,NameChange,Drama,Birth,Final,Alive,Films,FourStarFilms,Wins,Noms,FirstFilmYear,FirstWinYear,FirstNomYear
0,75,1,0,139,0,Yes,Yes,Yes,Yes,1926,2001,1,60,6,0,0,1940,NA,NA
0,70,1,0,140,1,Yes,Yes,No,Yes,1931,2001,1,13,2,0,0,1972,NA,NA
0,85,0,0,141,0,Yes,Yes,No,No,1885,1970,0,75,10,0,1,1916,NA,1938
0,95,1,0,142,1,Yes,Yes,No,No,1906,2001,1,141,14,0,0,1935,NA,NA
0,46,1,0,143,1,Yes,Yes,No,Yes,1955,2001,1,25,5,0,2,1987,NA,1996
0,74,0,0,144,1,Yes,Yes,No,No,1910,1984,0,11,3,0,0,1950,NA,NA
0,43,1,0,145,1,Yes,Yes,Yes,No,1901,1977,0,113,12,1,3,1930,1944,1944
43,76,0,1,145,1,Yes,Yes,Yes,No,1901,1977,0,113,12,1,3,1930,1944,1944
0,57,1,0,146,0,Yes,Yes,No,Yes,1944,2001,1,42,10,0,0,1970,NA,NA
0,59,1,0,147,1,Yes,Yes,No,Yes,1942,2001,1,66,8,0,0,1969,NA,NA
0,56,1,0,148,1,Yes,Yes,No,Yes,1945,2001,1,36,8,0,0,1981,NA,NA
0,59,1,0,149,1,No,Yes,No,Yes,1942,2001,1,47,3,0,1,1972,NA,1986
0,37,0,0,150,1,Yes,Yes,Yes,No,1936,1973,0,23,2,0,1,1952,NA,1963
0,68,0,0,151,1,Yes,Yes,No,Yes,1931,1999,0,13,5,0,0,1938,NA,NA
0,65,0,0,152,0,Yes,Yes,No,Yes,1923,1988,0,57,8,0,1,1932,NA,1936
0,72,1,0,153,0,Yes,Yes,No,Yes,1929,2001,1,29,5,0,0,1974,NA,NA
0,84,1,0,154,1,Yes,Yes,Yes,Yes,1917,2001,1,39,7,0,0,1929,NA,NA
0,51,1,0,155,1,Yes,Yes,No,Yes,1950,2001,1,52,7,0,1,1975,NA,1975
0,38,1,0,156,1,Yes,Yes,No,Yes,1963,2001,1,20,5,0,1,1988,NA,1995
0,70,1,0,157,1,Yes,Yes,No,Yes,1931,2001,1,32,8,0,0,1972,NA,NA
0,30,0,0,158,1,Yes,Yes,No,Yes,1942,1972,0,14,4,0,1,1952,NA,1953
0,55,1,0,159,0,Yes,Yes,No,Yes,1946,2001,1,12,2,0,2,1980,NA,1996
0,87,0,0,160,0,No,Yes,No,No,1909,1996,0,9,3,0,0,1935,NA,NA
0,45,1,0,161,0,No,Yes,No,Yes,1944,2001,1,22,4,1,1,1964,1989,1989
45,57,1,1,161,0,No,Yes,No,Yes,1944,2001,1,22,4,1,1,1964,1989,1989
0,77,0,0,162,0,No,No,Yes,Yes,1915,1992,0,18,2,0,0,1939,NA,NA
0,62,1,0,163,0,Yes,Yes,No,Yes,1939,2001,1,43,2,0,1,1969,NA,1975
0,84,0,0,164,1,No,Yes,No,Yes,1902,1986,0,44,7,0,1,1924,NA,1939
0,54,0,0,165,1,Yes,Yes,No,No,1936,1990,0,9,2,0,0,1965,NA,NA
0,73,0,0,166,1,No,Yes,No,No,1899,1972,0,107,11,0,1,1926,NA,1939
0,39,1,0,167,1,Yes,Yes,No,Yes,1910,1986,0,104,10,1,1,1931,1949,1949
39,76,0,1,167,1,Yes,Yes,No,Yes,1910,1986,0,104,10,1,1,1931,1949,1949
0,34,1,0,168,0,Yes,Yes,No,Yes,1967,2001,1,12,3,0,0,1985,NA,NA
0,55,1,0,169,1,Yes,Yes,No,Yes,1946,2001,1,63,6,0,1,1969,NA,1990
0,65,1,0,170,1,Yes,Yes,No,Yes,1936,2001,1,71,16,0,1,1960,NA,1978
0,67,1,0,171,1,Yes,Yes,No,No,1934,2001,1,10,0,0,0,1975,NA,NA
0,46,1,0,172,1,No,Yes,Yes,No,1955,2001,1,33,8,0,0,1980,NA,NA
0,71,0,0,173,1,Yes,Yes,No,No,1915,1986,0,19,1,0,0,1937,NA,NA
0,89,0,0,174,1,Yes,Yes,No,Yes,1908,1997,0,122,14,0,2,1936,NA,1975
0,49,1,0,175,1,Yes,Yes,Yes,Yes,1909,1995,0,52,16,1,1,1946,1958,1958
49,86,0,1,175,1,Yes,Yes,Yes,Yes,1909,1995,0,52,16,1,1,1946,1958,1958
0,47,1,0,176,1,Yes,Yes,No,Yes,1913,1994,0,97,31,1,4,1946,196NA,1953
47,81,0,1,176,1,Yes,Yes,No,Yes,1913,1994,0,97,31,1,4,1946,196NA,1953
0,65,1,0,177,1,Yes,Yes,No,No,1936,2001,1,100,6,0,1,1959,NA,1997
0,61,1,0,178,1,Yes,Yes,Yes,Yes,1940,2001,1,58,4,0,1,1971,NA,1974
0,84,0,0,179,0,Yes,No,Yes,No,1911,1995,0,19,6,0,0,1939,NA,NA
0,76,0,0,180,1,Yes,Yes,No,Yes,1918,1994,0,166,12,0,0,1945,NA,NA
0,55,1,0,181,0,Yes,Yes,Yes,Yes,1946,2001,1,34,6,0,1,1966,NA,1971
0,54,1,0,182,0,Yes,Yes,No,Yes,1947,2001,1,29,3,0,1,1972,NA,1972
0,76,1,0,183,0,Yes,Yes,Yes,Yes,1925,2001,1,22,5,0,1,1943,NA,1958
0,33,0,0,184,1,Yes,Yes,No,No,1926,1959,0,99,16,0,0,1929,NA,NA
0,61,1,0,185,0,Yes,Yes,No,Yes,1940,2001,1,12,4,0,0,1975,NA,NA
0,74,0,0,186,1,No,No,No,No,1912,1986,0,8,0,0,0,1944,NA,NA
0,81,0,0,187,0,Yes,Yes,No,Yes,1914,1995,0,9,2,0,0,1953,NA,NA
0,66,1,0,188,0,Yes,Yes,No,No,1935,2001,1,8,4,0,0,1971,NA,NA
0,68,1,0,189,0,Yes,Yes,No,No,1933,2001,1,30,4,0,0,1963,NA,NA
0,78,1,0,190,0,Yes,Yes,No,No,1923,2001,1,14,2,0,1,1950,NA,1967
0,49,1,0,191,0,Yes,Yes,No,No,1952,2001,1,64,9,0,1,1969,NA,1975
0,34,0,0,192,0,Yes,Yes,Yes,No,1908,1942,0,75,9,0,1,1920,NA,1936
0,37,1,0,193,0,Yes,Yes,No,Yes,1964,2001,1,1,0,0,0,1991,NA,NA
0,71,1,0,194,0,Yes,Yes,No,Yes,1930,2001,1,6,1,0,0,1961,NA,NA
0,54,0,0,195,0,Yes,Yes,No,Yes,1929,1983,0,48,8,0,1,1952,NA,1957
0,55,1,0,196,0,Yes,Yes,No,Yes,1946,2001,1,35,3,0,1,1969,NA,1970
0,70,1,0,197,0,Yes,Yes,No,Yes,1931,2001,1,18,4,0,1,1953,NA,1956
0,73,0,0,198,0,Yes,Yes,No,Yes,1901,1974,0,32,2,0,0,1927,NA,NA
0,82,0,0,199,1,No,Yes,Yes,No,1904,1986,0,89,23,0,2,1932,NA,1937
0,58,1,0,200,0,Yes,Yes,No,No,1943,2001,1,8,1,0,1,1969,NA,1969
0,83,1,0,201,0,Yes,Yes,No,Yes,1918,2001,1,28,2,0,0,1924,NA,NA
0,58,1,0,202,0,No,Yes,Yes,Yes,1943,2001,1,73,6,0,1,1956,NA,1992
0,40,1,0,203,0,Yes,Yes,No,No,1961,2001,1,23,2,0,1,1980,NA,1980
0,47,0,0,204,0,Yes,Yes,Yes,Yes,1923,1970,0,19,5,0,0,1946,NA,NA
0,71,0,0,205,1,No,Yes,No,Yes,1921,1992,0,47,9,0,0,1958,NA,NA
0,82,0,0,206,1,No,Yes,No,No,1891,1973,0,104,19,0,2,1934,NA,1948
0,28,1,0,207,0,Yes,Yes,No,No,1919,2001,1,39,9,1,3,1946,1947,1947
28,82,1,1,207,0,Yes,Yes,No,No,1919,2001,1,39,9,1,3,1946,1947,1947
0,74,0,0,208,0,No,Yes,No,Yes,1908,1982,0,16,6,0,1,1943,NA,1946
0,82,0,0,209,0,No,Yes,No,Yes,1897,1979,0,43,6,0,0,1934,NA,NA
0,62,1,0,210,0,Yes,Yes,No,Yes,1939,2001,1,9,2,0,0,1962,NA,NA
0,78,0,0,211,1,Yes,Yes,No,Yes,1889,1967,0,95,14,0,3,1929,NA,1943
0,79,0,0,212,1,No,Yes,No,Yes,1899,1978,0,80,14,0,4,1920,NA,1937
0,88,0,0,213,1,No,Yes,No,No,1889,1977,0,163,45,0,2,1914,NA,1928
0,66,1,0,214,1,Yes,Yes,No,Yes,1935,2001,1,30,4,0,0,1971,NA,NA
0,66,1,0,215,1,Yes,Yes,No,Yes,1877,1961,0,71,16,1,3,1934,1943,1941
66,84,0,1,215,1,Yes,Yes,No,Yes,1877,1961,0,71,16,1,3,1934,1943,1941
0,68,1,0,216,1,Yes,Yes,No,Yes,1933,2001,1,93,18,0,2,1965,NA,1982
0,66,1,0,217,1,Yes,Yes,No,No,1935,2001,1,41,7,0,0,1964,NA,NA
0,57,0,0,218,1,Yes,Yes,No,No,1921,1978,0,59,6,0,0,1948,NA,NA
0,81,0,0,219,1,No,Yes,No,Yes,1888,1969,0,102,22,0,0,1930,NA,NA
0,60,1,0,220,1,No,Yes,No,Yes,1941,2001,1,4,2,0,0,1979,NA,NA
0,34,1,0,221,1,No,Yes,No,Yes,1899,1962,0,55,20,1,3,1929,1933,1933
34,63,0,1,221,1,No,Yes,No,Yes,1899,1962,0,55,20,1,3,1929,1933,1933
0,65,1,0,222,1,Yes,Yes,No,No,1936,2001,1,67,8,0,0,1969,NA,NA
0,76,1,0,223,1,Yes,Yes,No,Yes,1925,2001,1,36,11,0,0,1964,NA,NA
0,97,1,0,224,1,No,Yes,No,No,1904,2001,1,52,0,0,0,1930,NA,NA
0,55,1,0,225,0,No,Yes,No,Yes,1946,2001,1,42,8,0,0,1956,NA,NA
0,35,1,0,226,1,Yes,Yes,Yes,Yes,1924,2001,1,99,16,1,1,1949,1959,1959
35,77,1,1,226,1,Yes,Yes,Yes,Yes,1924,2001,1,99,16,1,1,1949,1959,1959
0,50,1,0,227,1,Yes,Yes,No,No,1951,2001,1,16,3,0,1,1983,NA,1994
0,41,1,0,228,0,Yes,Yes,Yes,Yes,1946,2001,1,22,4,1,2,1965,1987,1983
41,55,1,1,228,0,Yes,Yes,Yes,Yes,1946,2001,1,22,4,1,2,1965,1987,1983
0,69,0,0,229,1,Yes,Yes,No,Yes,1901,1970,0,87,5,0,1,1917,NA,1929
0,82,0,0,230,1,No,No,Yes,Yes,1899,1981,0,11,3,0,1,1969,NA,1970
0,75,0,0,231,1,Yes,Yes,No,No,1903,1978,0,104,9,0,1,1934,NA,1960
0,52,1,0,232,1,No,Yes,No,Yes,1949,2001,1,53,5,0,0,1974,NA,NA
0,59,1,0,233,1,Yes,Yes,No,Yes,1942,2001,1,39,9,0,1,1974,NA,1975
0,59,0,0,234,1,Yes,No,No,No,1894,1953,0,78,12,0,0,1929,NA,NA
0,51,1,0,235,0,Yes,Yes,No,Yes,1950,2001,1,28,10,0,1,1978,NA,1984
0,40,1,0,236,1,Yes,Yes,No,Yes,1961,2001,1,30,3,0,0,1968,NA,NA
0,63,1,0,237,1,Yes,Yes,No,No,1938,2001,1,74,6,0,0,1975,NA,NA
0,49,1,0,238,1,Yes,Yes,No,Yes,1952,2001,1,42,2,0,0,1977,NA,NA
0,35,1,0,239,1,Yes,Yes,No,Yes,1943,2001,1,55,6,1,1,1968,1978,1978
35,58,1,1,239,1,Yes,Yes,No,Yes,1943,2001,1,55,6,1,1,1968,1978,1978
0,63,1,0,240,1,Yes,Yes,No,No,1938,2001,1,36,3,0,0,1968,NA,NA
